year,month,day,temperature
2025,1,1,-6
2025,1,2,-11
2025,1,3,-9
2025,1,4,-9
2025,1,5,-6
2025,1,6,-6
2025,1,7,-5
2025,1,8,-11
2025,1,9,-8
2025,1,10,-11
2025,1,11,-10
2025,1,12,-8
2025,1,13,-11
2025,1,14,-10
2025,1,15,-7
2025,1,16,-8
2025,1,17,-10
2025,1,18,-7
2025,1,19,-6
2025,1,20,-11
2025,1,21,-6
2025,1,22,-7
2025,1,23,-9
2025,1,24,-10
2025,1,25,-5
2025,1,26,-9
2025,1,27,-11
2025,1,28,-11
2025,1,29,-5
2025,1,30,-7
2025,1,31,-5
2025,2,1,-6
2025,2,2,-7
2025,2,3,-4
2025,2,4,-8
2025,2,5,-7
2025,2,6,-5
2025,2,7,-6
2025,2,8,-5
2025,2,9,-6
2025,2,10,-5
2025,2,11,-10
2025,2,12,-9
2025,2,13,-8
2025,2,14,-9
2025,2,15,-8
2025,2,16,-9
2025,2,17,-8
2025,2,18,-5
2025,2,19,-7
2025,2,20,-7
2025,2,21,-7
2025,2,22,-7
2025,2,23,-2
2025,2,24,-4
2025,2,25,-4
2025,2,26,-7
2025,2,27,-3
2025,2,28,-7
2025,3,1,-5
2025,3,2,-1
2025,3,3,-3
2025,3,4,-3
2025,3,5,-2
2025,3,6,-1
2025,3,7,-1
2025,3,8,-5
2025,3,9,-6
2025,3,10,-4
2025,3,11,-4
2025,3,12,-4
2025,3,13,1
2025,3,14,1
2025,3,15,-3
2025,3,16,0
2025,3,17,-2
2025,3,18,2
2025,3,19,-1
2025,3,20,-2
2025,3,21,-2
2025,3,22,1
2025,3,23,-1
2025,3,24,1
2025,3,25,4
2025,3,26,1
2025,3,27,0
2025,3,28,5
2025,3,29,2
2025,3,30,-1
2025,3,31,-1
2025,4,1,0
2025,4,2,4
2025,4,3,5
2025,4,4,3
2025,4,5,1
2025,4,6,3
2025,4,7,8
2025,4,8,5
2025,4,9,8
2025,4,10,8
2025,4,11,2
2025,4,12,7
2025,4,13,7
2025,4,14,7
2025,4,15,5
2025,4,16,8
2025,4,17,4
2025,4,18,7
2025,4,19,7
2025,4,20,11
2025,4,21,11
2025,4,22,7
2025,4,23,9
2025,4,24,7
2025,4,25,12
2025,4,26,12
2025,4,27,9
2025,4,28,11
2025,4,29,11
2025,4,30,8
2025,5,1,13
2025,5,2,12
2025,5,3,14
2025,5,4,12
2025,5,5,9
2025,5,6,11
2025,5,7,9
2025,5,8,16
2025,5,9,16
2025,5,10,16
2025,5,11,12
2025,5,12,11
2025,5,13,17
2025,5,14,18
2025,5,15,12
2025,5,16,15
2025,5,17,12
2025,5,18,17
2025,5,19,18
2025,5,20,13
2025,5,21,16
2025,5,22,17
2025,5,23,15
2025,5,24,19
2025,5,25,17
2025,5,26,15
2025,5,27,18
2025,5,28,19
2025,5,29,16
2025,5,30,17
2025,5,31,22
2025,6,1,20
2025,6,2,18
2025,6,3,19
2025,6,4,17
2025,6,5,17
2025,6,6,18
2025,6,7,20
2025,6,8,18
2025,6,9,18
2025,6,10,17
2025,6,11,21
2025,6,12,19
2025,6,13,24
2025,6,14,24
2025,6,15,18
2025,6,16,19
2025,6,17,23
2025,6,18,20
2025,6,19,19
2025,6,20,25
2025,6,21,23
2025,6,22,22
2025,6,23,24
2025,6,24,25
2025,6,25,20
2025,6,26,20
2025,6,27,22
2025,6,28,22
2025,6,29,23
2025,6,30,25
2025,7,1,24
2025,7,2,27
2025,7,3,20
2025,7,4,23
2025,7,5,22
2025,7,6,26
2025,7,7,22
2025,7,8,21
2025,7,9,23
2025,7,10,23
2025,7,11,22
2025,7,12,22
2025,7,13,27
2025,7,14,24
2025,7,15,26
2025,7,16,24
2025,7,17,21
2025,7,18,27
2025,7,19,26
2025,7,20,27
2025,7,21,27
2025,7,22,26
2025,7,23,22
2025,7,24,24
2025,7,25,22
2025,7,26,23
2025,7,27,21
2025,7,28,23
2025,7,29,27
2025,7,30,22
2025,7,31,26
2025,8,1,23
2025,8,2,23
2025,8,3,27
2025,8,4,27
2025,8,5,24
2025,8,6,25
2025,8,7,21
2025,8,8,22
2025,8,9,26
2025,8,10,24
2025,8,11,23
2025,8,12,25
2025,8,13,20
2025,8,14,23
2025,8,15,22
2025,8,16,25
2025,8,17,20
2025,8,18,25
2025,8,19,19
2025,8,20,20
2025,8,21,22
2025,8,22,23
2025,8,23,20
2025,8,24,19
2025,8,25,24
2025,8,26,19
2025,8,27,21
2025,8,28,21
2025,8,29,20
2025,8,30,21
2025,8,31,20
2025,9,1,23
2025,9,2,18
2025,9,3,21
2025,9,4,17
2025,9,5,18
2025,9,6,20
2025,9,7,17
2025,9,8,17
2025,9,9,20
2025,9,10,15
2025,9,11,18
2025,9,12,21
2025,9,13,21
2025,9,14,14
2025,9,15,15
2025,9,16,15
2025,9,17,20
2025,9,18,19
2025,9,19,19
2025,9,20,15
2025,9,21,13
2025,9,22,18
2025,9,23,16
2025,9,24,16
2025,9,25,18
2025,9,26,15
2025,9,27,11
2025,9,28,16
2025,9,29,12
2025,9,30,14
2025,10,1,16
2025,10,2,10
2025,10,3,10
2025,10,4,9
2025,10,5,12
2025,10,6,10
2025,10,7,12
2025,10,8,13
2025,10,9,9
2025,10,10,12
2025,10,11,9
2025,10,12,10
2025,10,13,13
2025,10,14,12
2025,10,15,6
2025,10,16,8
2025,10,17,7
2025,10,18,5
2025,10,19,10
2025,10,20,9
2025,10,21,6
2025,10,22,9
2025,10,23,7
2025,10,24,6
2025,10,25,3
2025,10,26,3
2025,10,27,9
2025,10,28,8
2025,10,29,6
2025,10,30,7
2025,10,31,5
2025,11,1,2
2025,11,2,2
2025,11,3,3
2025,11,4,7
2025,11,5,6
2025,11,6,6
2025,11,7,6
2025,11,8,1
2025,11,9,1
2025,11,10,-1
2025,11,11,4
2025,11,12,4
2025,11,13,1
2025,11,14,2
2025,11,15,-1
2025,11,16,4
2025,11,17,3
2025,11,18,4
2025,11,19,2
2025,11,20,2
2025,11,21,-4
2025,11,22,1
2025,11,23,-2
2025,11,24,2
2025,11,25,1
2025,11,26,1
2025,11,27,0
2025,11,28,-4
2025,11,29,0
2025,11,30,-5
2025,12,1,0
2025,12,2,0
2025,12,3,-5
2025,12,4,-1
2025,12,5,-4
2025,12,6,-5
2025,12,7,-2
2025,12,8,-6
2025,12,9,-8
2025,12,10,-7
2025,12,11,-6
2025,12,12,-2
2025,12,13,-2
2025,12,14,-7
2025,12,15,-4
2025,12,16,-6
2025,12,17,-2
2025,12,18,-5
2025,12,19,-3
2025,12,20,-9
2025,12,21,-3
2025,12,22,-8
2025,12,23,-3
2025,12,24,-8
2025,12,25,-9
2025,12,26,-7
2025,12,27,-5
2025,12,28,-8
2025,12,29,-6
2025,12,30,-7
2025,12,31,-8
